year,season,transect,treatment,weight,sciname,sex,tickpres
2013,Summer,UT1,Untreated,7.5,btay,F,0
2013,Summer,UT1,Untreated,7,btay,F,0
2013,Summer,UT1,Untreated,182,shis,M,0
2013,Summer,UT1,Untreated,112,shis,M,0
2013,Summer,UT1,Untreated,155,shis,M,0
2013,Summer,UT1,Untreated,106.5,shis,M,0
2013,Summer,UT1,Untreated,9,btay,F,0
2013,Summer,UT1,Untreated,8,btay,M,0
2013,Summer,UT1,Untreated,9,btay,F,0
2013,Summer,UT1,Untreated,22,chis,F,0
2013,Summer,UT1,Untreated,9,btay,F,0
2013,Summer,UT1,Untreated,107.5,shis,F,0
2013,Summer,UT1,Untreated,21,shis,M,0
2013,Summer,UT1,Untreated,11,rful,M,0
2013,Summer,UT1,Untreated,133,shis,M,0
2013,Summer,UT1,Untreated,8,btay,M,0
2013,Summer,UT1,Untreated,7,btay,M,0
2013,Summer,T1,Treated,57,shis,F,1
2013,Summer,T1,Treated,59.5,shis,F,0
2013,Summer,T1,Treated,81,shis,M,0
2013,Summer,T1,Treated,141.5,shis,M,0
2013,Summer,T1,Treated,49,shis,M,0
2013,Summer,T1,Treated,144.5,shis,F,0
2013,Summer,T1,Treated,8.5,btay,M,0
2013,Summer,T1,Treated,83.5,shis,M,0
2013,Summer,T1,Treated,6.5,btay,M,0
2013,Summer,T1,Treated,9,btay,F,0
2013,Summer,T1,Treated,10,btay,F,0
2013,Summer,T1,Treated,7,btay,M,0
2013,Summer,T1,Treated,42,chis,F,0
2013,Summer,T1,Treated,12.5,rful,M,0
2013,Summer,T1,Treated,63,shis,F,0
2013,Summer,T1,Treated,8,btay,F,0
2013,Summer,T1,Treated,70.5,shis,M,0
2013,Summer,T1,Treated,9,btay,F,0
2013,Summer,T1,Treated,12.5,rful,M,0
2013,Summer,T1,Treated,35,shis,M,0
2013,Summer,T1,Treated,8,btay,M,0
2013,Summer,T1,Treated,54,shis,F,0
2013,Summer,T1,Treated,7,btay,F,0
2013,Summer,T1,Treated,177,shis,F,0
2013,Summer,T1,Treated,6.5,btay,F,0
2013,Summer,T1,Treated,49,shis,M,1
2013,Summer,T1,Treated,5,btay,M,0
2013,Summer,T1,Treated,169,shis,M,1
2013,Summer,T1,Treated,7.5,btay,F,0
2013,Summer,T1,Treated,8,btay,F,0
2013,Summer,T1,Treated,92,shis,M,0
2013,Summer,T1,Treated,66,shis,M,0
2013,Summer,T1,Treated,69.5,shis,F,1
2013,Summer,T1,Treated,141,shis,F,0
2013,Summer,T1,Treated,128,shis,F,0
2013,Summer,T1,Treated,76.5,shis,M,0
2013,Summer,T1,Treated,54,shis,M,1
2013,Summer,T1,Treated,130,shis,M,0
2013,Summer,T1,Treated,77,shis,F,0
2013,Summer,UT1,Untreated,157.5,shis,M,0
2013,Summer,UT1,Untreated,93,shis,F,0
2013,Summer,UT1,Untreated,119,shis,M,0
2013,Summer,UT1,Untreated,7,btay,F,0
2013,Summer,UT1,Untreated,9,btay,F,0
2013,Summer,UT1,Untreated,115,shis,F,0
2013,Summer,UT1,Untreated,6.5,btay,F,0
2013,Summer,UT1,Untreated,9,btay,F,0
2013,Summer,UT1,Untreated,8.5,btay,F,0
2013,Summer,UT1,Untreated,20.5,chis,M,0
2013,Summer,UT1,Untreated,6,btay,F,0
2013,Summer,UT1,Untreated,7,btay,F,0
2013,Summer,UT1,Untreated,8,btay,F,0
2013,Summer,UT1,Untreated,7.5,btay,F,0
2013,Fall,T1,Treated,76.5,shis,M,0
2013,Fall,T1,Treated,109,shis,F,0
2013,Fall,T1,Treated,38,shis,F,0
2013,Fall,T1,Treated,108,shis,M,0
2013,Fall,T1,Treated,115,shis,M,0
2013,Fall,T1,Treated,78,shis,F,0
2013,Fall,T1,Treated,80,shis,M,0
2013,Fall,T1,Treated,104,shis,M,0
2013,Fall,T1,Treated,83.5,shis,F,0
2013,Fall,T1,Treated,73,shis,M,0
2013,Fall,T1,Treated,167,shis,F,0
2013,Fall,T1,Treated,12.5,rful,M,0
2013,Fall,T1,Treated,13,rful,M,0
2013,Fall,T1,Treated,146,shis,M,0
2013,Fall,T1,Treated,100,shis,F,0
2013,Fall,T1,Treated,92,shis,F,0
2013,Fall,T1,Treated,121,shis,M,0
2013,Fall,T1,Treated,72.5,shis,F,0
2013,Fall,T1,Treated,14,rful,M,0
2013,Fall,T2,Treated,77,shis,F,0
2013,Fall,T2,Treated,7.5,btay,F,0
2013,Fall,T2,Treated,88,shis,M,0
2013,Fall,T2,Treated,11,btay,M,0
2013,Fall,T2,Treated,91,shis,M,0
2013,Fall,T2,Treated,8,btay,M,0
2013,Fall,UT1,Untreated,111,shis,F,0
2013,Fall,UT1,Untreated,174.5,shis,M,1
2013,Fall,UT1,Untreated,115,shis,M,0
2013,Fall,UT1,Untreated,11,rful,M,0
2013,Fall,UT1,Untreated,7.5,btay,F,0
2013,Fall,UT1,Untreated,90.5,shis,M,0
2013,Fall,UT1,Untreated,103,shis,F,0
2013,Fall,UT1,Untreated,16,rful,F,0
2013,Fall,UT1,Untreated,106,shis,M,1
2013,Fall,UT1,Untreated,90.5,shis,F,0
2013,Fall,UT1,Untreated,148,shis,M,0
2013,Fall,UT1,Untreated,164,shis,M,1
2013,Fall,UT1,Untreated,88.5,shis,F,0
2013,Fall,UT1,Untreated,172.5,shis,M,0
2013,Fall,T1,Treated,7,btay,M,0
2013,Fall,T1,Treated,90.5,shis,M,0
2013,Fall,T1,Treated,7.5,btay,M,0
2013,Fall,T1,Treated,75.5,shis,M,0
2013,Fall,T1,Treated,67.5,shis,M,1
2013,Fall,T1,Treated,56.5,shis,M,0
2013,Fall,T1,Treated,68.5,shis,M,0
2013,Fall,T1,Treated,46,shis,F,0
2013,Fall,T1,Treated,141.5,shis,M,1
2013,Fall,T1,Treated,107,shis,M,0
2013,Fall,T1,Treated,169,shis,M,0
2013,Fall,T1,Treated,143.5,shis,F,0
2013,Fall,T1,Treated,75.5,shis,F,0
2013,Fall,T1,Treated,80.5,shis,F,0
2013,Fall,T1,Treated,97,shis,M,0
2013,Fall,T1,Treated,94,shis,F,0
2013,Fall,T1,Treated,94.5,shis,F,0
2013,Fall,T1,Treated,39.5,shis,F,0
2013,Fall,T1,Treated,100,shis,M,0
2013,Fall,T1,Treated,132,shis,F,0
2013,Fall,T1,Treated,82,shis,M,0
2013,Fall,T1,Treated,78,shis,F,0
2013,Fall,T1,Treated,87,shis,M,0
2013,Fall,T1,Treated,108,shis,M,0
2013,Fall,T2,Treated,127.5,shis,F,0
2013,Fall,T2,Treated,7.5,btay,M,0
2013,Fall,T2,Treated,7,btay,M,0
2013,Fall,T2,Treated,116,shis,M,0
2013,Fall,T2,Treated,152,shis,M,0
2013,Fall,T2,Treated,15.5,shis,F,0
2013,Fall,T2,Treated,65,shis,F,0
2013,Fall,T2,Treated,83,shis,F,0
2013,Fall,T2,Treated,61,shis,M,0
2013,Fall,T2,Treated,99,shis,F,0
2013,Fall,T2,Treated,98.5,shis,F,0
2013,Fall,T2,Treated,105,shis,F,0
2013,Fall,T2,Treated,11,btay,F,0
2013,Fall,T2,Treated,8,btay,F,0
2013,Fall,T2,Treated,68.5,shis,M,0
2013,Fall,UT1,Untreated,6.5,btay,F,0
2013,Fall,UT1,Untreated,7,btay,F,0
2013,Fall,UT1,Untreated,100,shis,M,0
2013,Fall,UT1,Untreated,100.5,shis,F,0
2013,Fall,UT1,Untreated,14,rful,F,0
2013,Fall,UT1,Untreated,107.5,shis,F,0
2013,Fall,UT1,Untreated,7.5,btay,F,0
2013,Fall,UT1,Untreated,8,btay,F,0
2013,Fall,UT1,Untreated,146.5,shis,M,0
2013,Fall,UT1,Untreated,8,btay,M,0
2013,Fall,UT1,Untreated,47,shis,F,0
2013,Fall,UT1,Untreated,35,shis,M,0
2013,Fall,UT1,Untreated,86.5,shis,F,0
2013,Fall,UT1,Untreated,68,shis,F,0
2013,Fall,UT1,Untreated,148,shis,M,1
2013,Fall,UT1,Untreated,175,shis,M,0
2013,Fall,UT1,Untreated,104,shis,M,0
2013,Fall,UT2,Untreated,80.5,shis,F,0
2013,Fall,UT2,Untreated,100,shis,M,0
2013,Fall,UT2,Untreated,100,shis,M,0
2013,Fall,UT2,Untreated,66.5,shis,F,0
2013,Fall,UT2,Untreated,79.5,shis,F,0
2013,Fall,UT2,Untreated,87,shis,F,0
2013,Fall,UT2,Untreated,91,shis,F,0
2013,Fall,UT2,Untreated,69.5,shis,F,0
2013,Fall,UT2,Untreated,95,shis,M,0
2013,Fall,T2,Treated,26,chis,M,0
2013,Fall,T2,Treated,11,rful,M,1
2013,Fall,T1,Treated,87.5,shis,M,0
2013,Fall,T1,Treated,9,btay,F,0
2013,Fall,T1,Treated,83,shis,M,0
2013,Fall,T1,Treated,87.5,shis,M,0
2013,Fall,T1,Treated,51,shis,M,0
2013,Fall,T1,Treated,68.5,shis,F,0
2013,Fall,T1,Treated,76,shis,F,0
2013,Fall,T1,Treated,125.5,shis,M,0
2013,Fall,T1,Treated,11.5,rful,M,0
2013,Fall,T1,Treated,71,shis,M,0
2013,Fall,T2,Treated,10,btay,F,0
2013,Fall,T2,Treated,101,shis,F,0
2013,Fall,T2,Treated,14,rful,M,0
2013,Fall,UT1,Untreated,11,btay,F,0
2013,Fall,UT1,Untreated,86.5,shis,F,1
2013,Fall,UT1,Untreated,101,shis,F,0
2013,Fall,UT1,Untreated,6.5,btay,M,0
2013,Fall,UT1,Untreated,37,shis,F,0
2013,Fall,UT1,Untreated,11.5,rful,M,0
2013,Fall,UT1,Untreated,133,shis,M,0
2013,Fall,UT1,Untreated,12,rful,M,0
2013,Fall,UT1,Untreated,100,shis,F,0
2013,Fall,UT2,Untreated,8,btay,F,0
2013,Fall,UT2,Untreated,100,shis,M,0
2013,Fall,UT2,Untreated,20.5,pleu,F,0
2013,Fall,UT2,Untreated,22,pleu,M,0
2013,Fall,UT2,Untreated,21,pleu,M,0
2013,Fall,T1,Treated,98,shis,M,0
2013,Fall,T1,Treated,105.5,shis,M,1
2013,Fall,T1,Treated,97.5,shis,F,0
2013,Fall,T1,Treated,108.5,shis,M,1
2013,Fall,T1,Treated,77.5,shis,M,0
2013,Fall,T1,Treated,102,shis,M,1
2013,Fall,T1,Treated,87.5,shis,F,0
2013,Fall,T1,Treated,69.5,shis,M,0
2013,Fall,T1,Treated,92.5,shis,F,1
2013,Fall,T1,Treated,90.5,shis,M,0
2013,Fall,T1,Treated,125.5,shis,M,1
2013,Fall,T1,Treated,48.5,shis,M,0
2013,Fall,T1,Treated,121.5,shis,F,0
2013,Fall,T1,Treated,8,btay,M,0
2013,Fall,T1,Treated,73.5,shis,F,0
2013,Fall,T1,Treated,9,btay,M,0
2013,Fall,T1,Treated,101.5,shis,M,1
2013,Fall,T1,Treated,119,shis,F,0
2013,Fall,T1,Treated,72,shis,F,1
2013,Fall,T1,Treated,86.5,shis,M,0
2013,Fall,T1,Treated,74,shis,F,0
2013,Fall,T1,Treated,60.5,shis,F,0
2013,Fall,T1,Treated,96,shis,M,0
2013,Fall,T1,Treated,99.5,shis,F,0
2013,Fall,T2,Treated,101,shis,F,0
2013,Fall,T2,Treated,66.5,shis,F,0
2013,Fall,T2,Treated,96,shis,M,0
2013,Fall,T2,Treated,101.5,shis,F,0
2013,Fall,T2,Treated,80.5,shis,F,0
2013,Fall,T2,Treated,57.5,shis,M,0
2013,Fall,T2,Treated,56.5,shis,M,0
2013,Fall,T2,Treated,82,shis,F,0
2013,Fall,T2,Treated,54.5,shis,M,0
2013,Fall,UT1,Untreated,9,btay,F,0
2013,Fall,UT1,Untreated,101.5,shis,F,0
2013,Fall,UT1,Untreated,12,rful,M,0
2013,Fall,UT1,Untreated,6.5,btay,M,0
2013,Fall,UT1,Untreated,115,shis,F,1
2013,Fall,UT1,Untreated,124.5,shis,F,0
2013,Fall,UT1,Untreated,91.5,shis,F,1
2013,Fall,UT1,Untreated,51.5,shis,M,1
2013,Fall,UT1,Untreated,71.5,shis,F,1
2013,Fall,UT1,Untreated,82.5,shis,M,1
2013,Fall,UT1,Untreated,84.5,shis,F,0
2013,Fall,UT1,Untreated,54.5,shis,M,1
2013,Fall,UT2,Untreated,101.5,shis,M,0
2013,Fall,UT2,Untreated,116.5,shis,M,0
2013,Fall,UT2,Untreated,98,shis,M,0
2013,Fall,UT2,Untreated,63.5,shis,F,0
2013,Fall,UT2,Untreated,11,rful,M,0
2013,Fall,UT2,Untreated,21,pleu,F,0
2013,Fall,UT2,Untreated,18,pleu,M,0
2013,Fall,T2,Treated,10,btay,F,0
2013,Fall,T2,Treated,196,shis,F,0
2013,Fall,T2,Treated,9,rful,M,0
2013,Fall,UT1,Untreated,31.5,chis,M,0
2013,Fall,T1,Treated,10,btay,F,0
2013,Fall,T2,Treated,197.5,shis,F,0
2013,Fall,T2,Treated,15,btay,F,0
2013,Fall,UT1,Untreated,32.5,chis,M,0
2013,Fall,UT2,Untreated,18,chis,F,0
2013,Fall,T1,Treated,83,shis,F,0
2013,Fall,T1,Treated,10,btay,F,0
2013,Fall,T1,Treated,109,shis,M,0
2013,Fall,T1,Treated,11,rful,M,1
2013,Fall,T1,Treated,11,rful,M,0
2013,Fall,T1,Treated,112,shis,M,0
2013,Fall,T1,Treated,95,shis,M,0
2013,Fall,T1,Treated,74,shis,M,1
2013,Fall,T1,Treated,110,shis,M,0
2013,Fall,T1,Treated,93,shis,M,0
2013,Fall,T1,Treated,88.5,shis,M,0
2013,Fall,T1,Treated,73,shis,F,0
2013,Fall,T1,Treated,15,rful,F,0
2013,Fall,T1,Treated,83,shis,M,0
2013,Fall,T2,Treated,12,rful,M,0
2013,Fall,T2,Treated,9,btay,F,0
2013,Fall,T2,Treated,61,shis,F,0
2013,Fall,T2,Treated,28,chis,F,0
2013,Fall,T2,Treated,13,rful,M,1
2013,Fall,T2,Treated,9.5,btay,F,0
2013,Fall,T2,Treated,11,rful,M,1
2013,Fall,T2,Treated,5,btay,M,0
2013,Fall,T2,Treated,99,shis,M,0
2013,Fall,T2,Treated,11,rful,M,1
2013,Fall,T2,Treated,8,btay,F,0
2013,Fall,T2,Treated,67,shis,M,0
2013,Fall,T2,Treated,113,shis,M,0
2013,Fall,T2,Treated,12,rful,M,0
2013,Fall,T2,Treated,9,btay,F,0
2013,Fall,T2,Treated,76,shis,F,0
2013,Fall,T2,Treated,68,shis,M,0
2013,Fall,T2,Treated,98,shis,F,0
2013,Fall,T2,Treated,12,rful,F,0
2013,Fall,T2,Treated,97,shis,F,0
2013,Fall,T2,Treated,13,rful,M,0
2013,Fall,T2,Treated,79,shis,M,0
2013,Fall,UT1,Untreated,87,shis,F,0
2013,Fall,UT1,Untreated,96.5,shis,F,0
2013,Fall,UT1,Untreated,8,btay,F,0
2013,Fall,UT1,Untreated,7,btay,F,0
2013,Fall,UT1,Untreated,82,shis,F,1
2013,Fall,UT1,Untreated,9,rful,F,0
2013,Fall,UT1,Untreated,12,rful,M,0
2013,Fall,UT1,Untreated,8.5,btay,F,0
2013,Fall,UT1,Untreated,141,shis,M,1
2013,Fall,UT1,Untreated,12.5,rful,M,0
2013,Fall,UT1,Untreated,129,shis,M,1
2013,Fall,UT1,Untreated,14,rful,F,0
2013,Fall,UT1,Untreated,9,btay,M,0
2013,Fall,UT1,Untreated,65,shis,F,0
2013,Fall,UT1,Untreated,105,shis,F,0
2013,Fall,UT1,Untreated,74,shis,M,0
2013,Fall,UT1,Untreated,11,rful,F,0
2013,Fall,UT1,Untreated,6.5,btay,F,0
2013,Fall,UT1,Untreated,74,shis,F,0
2013,Fall,UT1,Untreated,11,rful,M,0
2013,Fall,UT1,Untreated,86,shis,F,0
2013,Fall,UT1,Untreated,98,shis,F,0
2013,Fall,UT1,Untreated,8,btay,M,0
2013,Fall,UT1,Untreated,10,btay,F,0
2013,Fall,UT1,Untreated,12.5,rful,M,0
2013,Fall,UT1,Untreated,12,rful,F,0
2013,Fall,UT1,Untreated,13,rful,M,0
2013,Fall,UT1,Untreated,12,rful,F,0
2013,Fall,UT1,Untreated,148,shis,F,0
2013,Fall,UT2,Untreated,106,shis,M,0
2013,Fall,UT2,Untreated,8.5,btay,M,0
2013,Fall,UT2,Untreated,33,chis,M,0
2013,Fall,UT2,Untreated,119,shis,M,0
2013,Fall,UT2,Untreated,22,pleu,M,0
2013,Fall,UT2,Untreated,20,pleu,M,0
2013,Fall,UT2,Untreated,60,shis,F,0
2013,Winter,T1,Treated,5,btay,M,0
2013,Winter,T1,Treated,7,btay,M,0
2013,Winter,T1,Treated,8,rful,M,0
2013,Winter,T2,Treated,25.5,rful,M,0
